epl_qualifiers,epl_champs,uefa_cl_champs
Chelsea2010,Chelsea2010,Chelsea2012
Man United2010,Man United2011,Liverpool2019
Arsenal2010,Man City2012,
Tottenham2010,Man United2013,
Chelsea2011,Man City2014,
Man United2011,Chelsea2015,
Arsenal2011,Leicester2016,
Man City2011,Chelsea2017,
Tottenham2012,Man City2018,
Arsenal2012,Man City2019,
Man City2012,Liverpool2020,
Man United2012,Man City2021,
Man United2013,,
Man City2013,,
Chelsea2013,,
Arsenal2013,,
Man City2014,,
Liverpool2014,,
Chelsea2014,,
Arsenal2014,,
Chelsea2015,,
Man City2015,,
Arsenal2015,,
Man United2015,,
Leicester2016,,
Arsenal2016,,
Tottenham2016,,
Man City2016,,
Chelsea2017,,
Tottenham2017,,
Man City2017,,
Liverpool2017,,
Man City2018,,
Man United2018,,
Tottenham2018,,
Liverpool2018,,
Man City2019,,
Liverpool2019,,
Chelsea2019,,
Tottenham2019,,
Liverpool2020,,
Man City2020,,
Man United2020,,
Chelsea2020,,
Man City2021,,
Man United2021,,
Liverpool2021,,
Chelsea2021,,
